年份,地區,姓名,黨籍
2002,宜蘭縣,張建榮,中國國民黨
2002,花蓮縣,楊文值,中國國民黨
2002,金門縣,莊良時,中國國民黨
2002,南投縣,鄭文銅,無黨籍及未經政黨推薦
2002,屏東縣,程清水,中國國民黨
2002,苗栗縣,饒鴻奇,中國國民黨
2002,桃園縣,曾忠義,中國國民黨
2002,高雄市,蔡見興,無黨籍及未經政黨推薦
2002,高雄縣,許福森,中國國民黨
2002,基隆市,張通榮,中國國民黨
2002,連江縣,陳振清,中國國民黨
2002,雲林縣,陳清秀,中國國民黨
2002,新竹市,鄭成光,無黨籍及未經政黨推薦
2002,新竹縣,黃永和,中國國民黨
2002,嘉義市,蔡貴絲,無黨籍及未經政黨推薦
2002,嘉義縣,侯清河,中國國民黨
2002,彰化縣,白鴻森,中國國民黨
2002,臺中市,張宏年,中國國民黨
2002,臺中縣,張清堂,中國國民黨
2002,臺北市,吳碧珠,中國國民黨
2002,臺北縣,許再恩,中國國民黨
2002,臺東縣,吳俊立,中國國民黨
2002,臺南市,黃郁文,無黨籍及未經政黨推薦
2002,臺南縣,吳健保,中國國民黨
2002,澎湖縣,劉陳昭玲,中國國民黨
2005,宜蘭縣,張建榮,中國國民黨
2005,花蓮縣,楊文值,中國國民黨
2005,金門縣,謝宜璋,無黨籍及未經政黨推薦
2005,南投縣,吳棋祥,無黨籍及未經政黨推薦
2005,屏東縣,周典論,中國國民黨
2005,苗栗縣,游忠鈿,中國國民黨
2005,桃園縣,曾忠義,中國國民黨
2005,高雄縣,許福森,中國國民黨
2005,基隆市,張通榮,中國國民黨
2005,連江縣,陳振清,中國國民黨
2005,雲林縣,蘇金煌,中國國民黨
2005,新竹市,鄭成光,無黨籍及未經政黨推薦
2005,新竹縣,張碧琴,無黨籍及未經政黨推薦
2005,嘉義市,蔡貴絲,無黨籍及未經政黨推薦
2005,嘉義縣,余政達,無黨籍及未經政黨推薦
2005,彰化縣,白鴻森,中國國民黨
2005,臺中市,張宏年,中國國民黨
2005,臺中縣,張清堂,中國國民黨
2005,臺北縣,陳幸進,中國國民黨
2005,臺東縣,李錦慧,中國國民黨
2005,臺南市,黃郁文,無黨籍及未經政黨推薦
2005,臺南縣,吳健保,中國國民黨
2005,澎湖縣,劉陳昭玲,中國國民黨
2006,高雄市,莊啟旺,中國國民黨
2006,臺北市,吳碧珠,中國國民黨
2009,宜蘭縣,張建榮,中國國民黨
2009,花蓮縣,楊文值,中國國民黨
2009,金門縣,王再生,中國國民黨
2009,南投縣,何勝豐,無黨籍及未經政黨推薦
2009,屏東縣,林清都,無黨籍及未經政黨推薦
2009,苗栗縣,游忠鈿,中國國民黨
2009,桃園縣,邱奕勝,中國國民黨
2009,基隆市,黃景泰,中國國民黨
2009,連江縣,陳貴忠,中國國民黨
2009,雲林縣,蘇金煌,中國國民黨
2009,新竹市,謝文進,無黨籍及未經政黨推薦
2009,新竹縣,陳見賢,中國國民黨
2009,嘉義市,林承勳,無黨籍及未經政黨推薦
2009,嘉義縣,余政達,無黨籍及未經政黨推薦
2009,彰化縣,謝典霖,中國國民黨
2009,臺東縣,饒慶鈴,中國國民黨
2009,澎湖縣,劉陳昭玲,中國國民黨
2010,高雄市,許崑源,中國國民黨
2010,新北市,陳幸進,中國國民黨
2010,臺中市,張清堂,無黨籍及未經政黨推薦
2010,臺北市,吳碧珠,中國國民黨
2010,臺南市,賴美惠,民主進步黨
2014,宜蘭縣,陳文昌,民主進步黨
2014,花蓮縣,賴進坤,中國國民黨
2014,金門縣,洪麗萍,中國國民黨
2014,南投縣,何勝豐,中國國民黨
2014,屏東縣,周典論,無黨籍及未經政黨推薦
2014,苗栗縣,游忠鈿,中國國民黨
2014,桃園市,邱奕勝,中國國民黨
2014,高雄市,康裕成,民主進步黨
2014,基隆市,宋瑋莉,中國國民黨
2014,連江縣,張永江,無黨籍及未經政黨推薦
2014,雲林縣,沈宗隆,中國國民黨
2014,新北市,蔣根煌,中國國民黨
2014,新竹市,謝文進,無黨籍及未經政黨推薦
2014,新竹縣,張鎮榮,中國國民黨
2014,嘉義市,蕭淑麗,無黨籍及未經政黨推薦
2014,嘉義縣,張明達,民主進步黨
2014,彰化縣,謝典霖,中國國民黨
2014,臺中市,林士昌,中國國民黨
2014,臺北市,吳碧珠,中國國民黨
2014,臺東縣,饒慶鈴,中國國民黨
2014,臺南市,李全教,中國國民黨
2014,澎湖縣,劉陳昭玲,中國國民黨
2018,宜蘭縣,張建榮,中國國民黨
2018,花蓮縣,張峻,中國國民黨
2018,金門縣,洪允典,中國國民黨
2018,南投縣,何勝豐,中國國民黨
2018,屏東縣,周典論,中國國民黨
2018,苗栗縣,鍾東錦,中國國民黨
2018,桃園市,邱奕勝,中國國民黨
2018,高雄市,許崑源,中國國民黨
2018,基隆市,蔡旺璉,中國國民黨
2018,連江縣,張永江,中國國民黨
2018,雲林縣,沈宗隆,中國國民黨
2018,新北市,蔣根煌,中國國民黨
2018,新竹市,許修睿,無黨籍及未經政黨推薦
2018,新竹縣,張鎮榮,中國國民黨
2018,嘉義市,莊豐安,無黨籍及未經政黨推薦
2018,嘉義縣,張明達,民進黨
2018,彰化縣,謝典霖,中國國民黨
2018,臺中市,張清照,中國國民黨
2018,臺北市,陳錦祥,中國國民黨
2018,臺東縣,吳秀華,中國國民黨
2018,臺南市,郭信良,無黨籍及未經政黨推薦
2018,澎湖縣,劉陳昭玲,中國國民黨
